Timestamp URL HTTP_Status TimeTaken_ms RawContentLength Content
2021-06-14-04:07:51 https://mycw60.eclinicalweb.com/portal7608/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:51 https://mycw60.eclinicalweb.com/portal7589/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:51 https://mycw60.eclinicalweb.com/portal7689/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:52 https://mycw60.eclinicalweb.com/portal7775/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:52 https://mycw60.eclinicalweb.com/portal7719/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:52 https://mycw60.eclinicalweb.com/portal7655/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:52 https://mycw60.eclinicalweb.com/portal7704/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:53 https://mycw60.eclinicalweb.com/portal7652/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:53 https://mycw60.eclinicalweb.com/portal7653/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:53 https://mycw60.eclinicalweb.com/portal7753/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:54 https://mycw60.eclinicalweb.com/portal7782/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:55 https://mycw60.eclinicalweb.com/portal7678/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:55 https://mycw60.eclinicalweb.com/portal7760/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:55 https://mycw60.eclinicalweb.com/portal7626/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:56 https://mycw60.eclinicalweb.com/portal7628/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:56 https://mycw60.eclinicalweb.com/portal7710/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:57 https://mycw60.eclinicalweb.com/portal7731/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:57 https://mycw60.eclinicalweb.com/portal7601/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:58 https://mycw60.eclinicalweb.com/portal7683/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:58 https://mycw60.eclinicalweb.com/portal7736/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:58 https://mycw60.eclinicalweb.com/portal7654/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
